Long_Term_Fuel_Trim_Bank1,Engine_coolant_temperature.1,Activation_of_Air_compressor,Torque_of_friction,Engine_soacking_time,Intake_air_pressure,Time(s),Class,Trip_ID
3.1,25,0,16.4,0,0,1,B,0
3.1,25,0,14.8,0,0,2,B,0
3.1,25,0,14.5,0,0,3,B,0
3.9,25,0,13.7,0,0,4,B,0
3.9,25,0,13.3,0,0,5,B,0
3.9,25,0,12.9,0,0,6,B,0
3.9,25,0,12.9,0,0,7,B,0
3.1,25,0,14.1,0,0,8,B,0
3.1,25,0,15.2,0,0,9,B,0
3.1,25,0,16.4,0,0,10,B,0
3.1,26,0,16.0,0,0,11,B,0
3.9,26,0,15.6,0,0,12,B,0
3.9,26,0,14.8,0,0,13,B,0
3.9,26,0,14.5,0,0,14,B,0
3.9,26,0,13.7,0,0,15,B,0
3.9,26,0,13.7,0,0,16,B,0
3.9,26,0,13.7,0,0,17,B,0
3.9,26,0,13.7,0,0,18,B,0
3.1,26,0,13.7,0,0,19,B,0
3.1,26,0,13.7,0,0,20,B,0
3.1,26,0,13.7,0,0,21,B,0
3.1,26,0,13.7,0,0,22,B,0
3.1,26,0,13.7,0,0,23,B,0
3.1,26,0,13.7,0,0,24,B,0
3.1,26,0,13.7,0,0,25,B,0
3.1,26,0,13.7,0,0,26,B,0
3.1,26,0,13.7,0,0,27,B,0
3.1,26,0,13.7,0,0,28,B,0
3.1,26,0,13.7,0,0,29,B,0
3.1,26,0,13.7,0,0,30,B,0
3.1,26,0,13.7,0,0,31,B,0
3.1,26,0,13.7,0,0,32,B,0
3.1,26,0,13.3,0,0,33,B,0
3.1,26,0,13.3,0,0,34,B,0
3.1,26,0,13.7,0,0,35,B,0
3.1,26,0,13.7,0,0,36,B,0
3.1,26,0,13.3,0,0,37,B,0
3.1,26,0,12.9,0,0,38,B,0
3.1,26,0,12.9,0,0,39,B,0
3.1,26,0,13.3,0,0,40,B,0
3.1,26,0,13.7,0,0,41,B,0
3.1,26,0,12.9,0,0,42,B,0
3.1,26,0,12.9,0,0,43,B,0
3.1,26,0,12.9,0,0,44,B,0
3.1,26,0,12.9,0,0,45,B,0
3.1,26,0,13.3,0,0,46,B,0
3.1,26,0,13.7,0,0,47,B,0
3.1,26,0,13.3,0,0,48,B,0
3.1,26,0,13.7,0,0,49,B,0
3.1,26,0,13.7,0,0,50,B,0
3.1,26,0,13.7,0,0,51,B,0
3.1,26,0,13.7,0,0,52,B,0
3.1,26,0,12.9,0,0,53,B,0
3.1,26,0,12.5,0,2,54,B,0
3.1,26,0,12.5,0,3,55,B,0
3.1,27,0,12.5,0,5,56,B,0
3.1,27,0,12.5,0,9,57,B,0
3.1,27,0,12.1,0,25,58,B,0
3.1,27,0,11.7,0,32,59,B,0
3.1,27,0,12.1,0,14,60,B,0
3.1,27,0,12.5,0,25,61,B,0
3.1,27,0,11.7,0,34,62,B,0
3.1,27,0,12.1,0,0,63,B,0
3.1,27,0,12.5,0,0,64,B,0
3.9,27,0,12.9,0,0,65,B,0
3.9,27,0,12.9,0,0,66,B,0
3.9,27,0,12.9,0,0,67,B,0
3.9,27,0,12.5,0,0,68,B,0
3.9,27,0,12.5,0,0,69,B,0
3.9,27,0,12.5,0,0,70,B,0
3.9,27,0,12.9,0,0,71,B,0
3.1,27,0,12.5,0,0,72,B,0
3.1,27,0,12.1,0,11,73,B,0
3.1,27,0,11.7,0,26,74,B,0
3.1,27,0,11.7,0,32,75,B,0
3.1,27,0,11.7,0,19,76,B,0
3.1,27,0,11.7,0,9,77,B,0
3.1,27,0,12.1,0,0,78,B,0
3.9,27,0,12.5,0,0,79,B,0
3.9,27,0,12.5,0,0,80,B,0
3.9,27,0,12.1,0,0,81,B,0
3.1,27,0,11.7,0,13,82,B,0
3.9,27,0,12.1,0,0,83,B,0
3.9,27,0,12.1,0,0,84,B,0
3.9,27,0,12.5,0,0,85,B,0
3.9,27,0,12.5,0,0,86,B,0
3.9,27,0,12.5,0,0,87,B,0
3.9,27,0,12.5,0,0,88,B,0
3.9,27,0,12.5,0,0,89,B,0
3.9,27,0,12.5,0,0,90,B,0
3.9,27,0,12.5,0,0,91,B,0
3.9,27,0,12.1,0,0,92,B,0
3.9,27,0,11.7,0,0,93,B,0
3.1,27,0,11.7,0,3,94,B,0
3.1,27,0,11.7,0,5,95,B,0
3.1,27,0,10.9,0,31,96,B,0
3.1,27,0,10.9,0,33,97,B,0
3.1,28,0,11.3,0,16,98,B,0
3.1,28,0,10.9,0,26,99,B,0
3.1,28,0,11.3,0,7,100,B,0
3.1,28,0,10.5,0,30,101,B,0
3.1,28,0,11.3,0,8,102,B,0
3.1,28,0,10.9,0,32,103,B,0
3.1,28,0,10.9,0,12,104,B,0
3.1,28,0,11.7,0,21,105,B,0
3.1,28,0,11.7,0,18,106,B,0
3.9,28,0,11.7,0,0,107,B,0
3.1,28,0,11.3,0,20,108,B,0
3.1,28,0,11.3,0,1,109,B,0
3.9,28,0,11.7,0,0,110,B,0
3.9,28,0,11.7,0,0,111,B,0
3.9,28,0,11.7,0,0,112,B,0
3.1,28,0,11.7,0,0,113,B,0
3.1,28,0,11.3,0,21,114,B,0
3.1,28,0,10.5,0,31,115,B,0
3.1,28,0,10.5,0,11,116,B,0
3.1,28,0,10.9,0,30,117,B,0
3.1,28,0,10.2,0,35,118,B,0
3.1,28,0,11.3,0,28,119,B,0
3.1,29,0,10.5,0,30,120,B,0
3.1,29,0,10.2,0,49,121,B,0
3.1,29,0,9.8,0,37,122,B,0
3.1,29,0,9.4,0,49,123,B,0
3.1,29,0,10.5,0,19,124,B,0
3.1,29,0,10.2,0,44,125,B,0
3.1,29,0,9.4,0,41,126,B,0
3.1,29,0,9.8,0,48,127,B,0
3.1,29,0,10.2,0,16,128,B,0
3.1,29,0,10.5,0,46,129,B,0
3.1,29,0,10.2,0,32,130,B,0
3.1,29,0,10.5,0,27,131,B,0
3.1,29,0,10.9,0,25,132,B,0
3.1,29,0,10.2,0,40,133,B,0
3.1,29,0,10.5,0,9,134,B,0
