Long_Term_Fuel_Trim_Bank1,Engine_coolant_temperature.1,Activation_of_Air_compressor,Torque_of_friction,Engine_soacking_time,Intake_air_pressure,Time(s),Class,Trip_ID
3.9,42,0,13.7,0,0,1,D,0
3.9,42,0,14.5,0,0,2,D,0
4.7,42,0,14.1,0,0,3,D,0
4.7,42,0,13.3,0,0,4,D,0
4.7,43,0,12.9,0,0,5,D,0
4.7,43,0,12.9,0,0,6,D,0
4.7,43,0,12.9,0,0,7,D,0
4.7,43,0,13.7,0,0,8,D,0
4.7,43,1,16.0,0,0,9,D,0
3.9,43,1,22.7,0,0,10,D,0
3.9,43,1,25.4,0,0,11,D,0
3.9,43,1,23.8,0,0,12,D,0
3.9,43,1,22.3,0,13,13,D,0
3.9,43,1,21.5,0,27,14,D,0
3.9,43,1,20.7,0,18,15,D,0
3.9,43,1,19.9,0,0,16,D,0
3.9,43,1,20.3,0,0,17,D,0
3.9,43,1,20.7,0,0,18,D,0
3.9,43,1,20.7,0,0,19,D,0
3.9,43,1,21.5,0,4,20,D,0
3.9,43,1,21.9,0,4,21,D,0
3.9,43,1,21.5,0,0,22,D,0
3.9,43,1,21.1,0,1,23,D,0
3.9,43,1,20.3,0,0,24,D,0
3.9,43,1,20.3,0,0,25,D,0
3.9,43,1,19.9,0,0,26,D,0
3.9,43,1,19.9,0,0,27,D,0
3.9,43,1,19.1,0,1,28,D,0
3.9,43,1,19.1,0,20,29,D,0
3.9,43,1,19.1,0,21,30,D,0
3.9,43,1,19.1,0,24,31,D,0
3.9,43,1,19.1,0,39,32,D,0
3.9,43,1,19.1,0,40,33,D,0
3.9,43,1,18.8,0,41,34,D,0
3.1,43,1,18.8,0,41,35,D,0
3.9,44,1,19.1,0,18,36,D,0
3.9,44,1,19.1,0,0,37,D,0
3.9,44,1,19.1,0,0,38,D,0
3.9,44,1,18.8,0,0,39,D,0
3.9,44,1,18.8,0,0,40,D,0
3.9,44,1,18.8,0,0,41,D,0
3.9,44,1,18.8,0,0,42,D,0
3.9,44,1,18.8,0,0,43,D,0
3.9,44,1,18.0,0,6,44,D,0
3.9,44,1,18.0,0,20,45,D,0
3.9,44,1,18.0,0,20,46,D,0
3.9,44,1,18.0,0,37,47,D,0
3.9,44,1,18.4,0,27,48,D,0
3.9,44,1,18.8,0,13,49,D,0
3.9,44,1,19.1,0,0,50,D,0
3.9,44,1,19.1,0,0,51,D,0
3.9,44,1,19.1,0,0,52,D,0
3.9,44,1,19.1,0,0,53,D,0
3.9,44,1,19.9,0,0,54,D,0
3.9,44,1,18.8,0,0,55,D,0
3.9,44,1,18.8,0,0,56,D,0
3.9,44,1,18.0,0,35,57,D,0
3.9,44,1,18.0,0,48,58,D,0
3.9,44,1,18.0,0,50,59,D,0
3.9,44,1,17.6,0,44,60,D,0
3.9,44,1,17.6,0,18,61,D,0
3.9,44,1,18.0,0,0,62,D,0
3.9,44,1,18.0,0,27,63,D,0
3.9,44,1,17.2,0,30,64,D,0
3.9,44,1,17.2,0,35,65,D,0
3.1,44,1,16.8,0,60,66,D,0
3.1,45,1,17.2,0,53,67,D,0
3.1,45,1,17.2,0,29,68,D,0
3.9,45,1,18.0,0,0,69,D,0
3.9,45,1,18.8,0,0,70,D,0
3.9,45,1,18.8,0,0,71,D,0
3.9,45,1,18.8,0,0,72,D,0
3.9,45,1,18.4,0,0,73,D,0
4.7,45,1,18.4,0,0,74,D,0
3.9,45,1,18.0,0,9,75,D,0
3.9,45,1,18.0,0,16,76,D,0
3.9,45,1,18.4,0,7,77,D,0
3.9,45,1,18.8,0,0,78,D,0
3.1,45,1,18.0,0,36,79,D,0
3.1,45,1,18.0,0,37,80,D,0
3.1,45,1,18.0,0,31,81,D,0
3.1,45,1,18.4,0,21,82,D,0
3.1,45,1,18.8,0,0,83,D,0
3.9,45,1,18.8,0,0,84,D,0
3.1,45,1,18.4,0,5,85,D,0
3.1,45,1,17.6,0,27,86,D,0
3.1,45,1,17.2,0,27,87,D,0
3.1,45,1,17.2,0,31,88,D,0
2.3,45,1,16.4,0,45,89,D,0
2.3,45,1,16.4,0,44,90,D,0
2.3,45,1,16.8,0,25,91,D,0
3.1,45,1,17.6,0,0,92,D,0
3.1,45,1,17.2,0,23,93,D,0
2.3,45,1,16.4,0,60,94,D,0
2.3,45,1,17.2,0,39,95,D,0
2.3,45,1,17.2,0,38,96,D,0
2.3,45,1,17.6,0,14,97,D,0
3.1,45,1,18.8,0,0,98,D,0
3.1,46,1,17.6,0,0,99,D,0
2.3,46,1,16.4,0,47,100,D,0
3.1,46,1,17.2,0,0,101,D,0
3.1,46,1,17.2,0,0,102,D,0
2.3,46,1,16.4,0,41,103,D,0
2.3,46,1,16.4,0,40,104,D,0
2.3,46,1,17.2,0,40,105,D,0
2.3,46,1,16.8,0,38,106,D,0
2.3,46,1,16.4,0,31,107,D,0
2.3,46,1,17.2,0,31,108,D,0
2.3,46,1,17.2,0,21,109,D,0
3.1,46,1,17.2,0,0,110,D,0
2.3,46,1,16.8,0,18,111,D,0
2.3,46,1,16.0,0,35,112,D,0
2.3,46,1,16.0,0,20,113,D,0
2.3,46,1,16.8,0,0,114,D,0
3.1,46,1,16.4,0,0,115,D,0
2.3,46,1,15.6,0,51,116,D,0
2.3,46,1,16.0,0,39,117,D,0
2.3,46,1,16.4,0,51,118,D,0
2.3,46,1,16.0,0,54,119,D,0
2.3,47,1,15.6,0,56,120,D,0
2.3,47,1,16.0,0,37,121,D,0
2.3,47,1,17.6,0,0,122,D,0
3.1,47,1,16.4,0,0,123,D,0
3.1,47,1,16.4,0,4,124,D,0
2.3,47,1,16.0,0,17,125,D,0
2.3,47,1,15.6,0,29,126,D,0
2.3,47,1,16.4,0,4,127,D,0
2.3,47,1,15.6,0,21,128,D,0
2.3,47,1,15.6,0,17,129,D,0
2.3,47,1,16.0,0,0,130,D,0
2.3,47,1,15.2,0,44,131,D,0
2.3,47,1,15.6,0,48,132,D,0
2.3,47,1,16.4,0,47,133,D,0
2.3,47,1,16.4,0,47,134,D,0
2.3,47,1,17.2,0,30,135,D,0
2.3,48,1,17.2,0,2,136,D,0
2.3,48,1,17.2,0,0,137,D,0
2.3,48,1,16.8,0,0,138,D,0
3.1,48,1,17.2,0,0,139,D,0
3.1,48,1,17.2,0,0,140,D,0
3.1,48,1,17.2,0,0,141,D,0
3.1,48,1,16.8,0,0,142,D,0
3.1,48,1,16.4,0,0,143,D,0
2.3,48,1,16.4,0,0,144,D,0
3.1,48,1,16.0,0,0,145,D,0
3.1,48,1,15.6,0,0,146,D,0
3.1,48,1,15.6,0,0,147,D,0
3.1,48,1,15.6,0,0,148,D,0
3.1,48,1,15.6,0,0,149,D,0
3.1,48,1,15.2,0,0,150,D,0
3.1,48,1,15.2,0,0,151,D,0
3.1,48,1,15.6,0,0,152,D,0
3.1,48,1,16.4,0,0,153,D,0
3.1,48,1,16.8,0,0,154,D,0
3.1,48,1,17.2,0,0,155,D,0
3.1,48,1,17.2,0,0,156,D,0
3.1,48,1,17.2,0,0,157,D,0
3.1,48,1,17.2,0,0,158,D,0
3.1,48,1,17.2,0,0,159,D,0
3.1,48,1,17.2,0,0,160,D,0
3.1,48,1,17.2,0,0,161,D,0
3.1,48,1,17.2,0,0,162,D,0
3.1,48,1,17.2,0,0,163,D,0
3.1,48,1,17.2,0,0,164,D,0
3.1,48,1,17.2,0,0,165,D,0
3.1,48,1,17.2,0,0,166,D,0
3.1,48,1,17.2,0,0,167,D,0
3.1,48,1,17.2,0,0,168,D,0
3.1,48,1,17.2,0,0,169,D,0
3.1,48,1,17.2,0,0,170,D,0
3.1,48,1,17.2,0,0,171,D,0
3.1,48,1,17.2,0,0,172,D,0
3.1,48,1,17.2,0,0,173,D,0
3.1,48,1,17.2,0,0,174,D,0
3.1,48,1,17.2,0,0,175,D,0
3.1,48,1,17.2,0,0,176,D,0
3.1,48,1,17.2,0,0,177,D,0
3.1,48,1,17.2,0,0,178,D,0
3.1,48,1,17.2,0,0,179,D,0
3.1,48,1,17.2,0,0,180,D,0
3.1,48,1,17.2,0,0,181,D,0
3.1,48,1,17.2,0,0,182,D,0
3.1,49,1,17.2,0,0,183,D,0
3.1,49,1,17.2,0,0,184,D,0
