Long_Term_Fuel_Trim_Bank1,Engine_coolant_temperature.1,Activation_of_Air_compressor,Torque_of_friction,Engine_soacking_time,Intake_air_pressure,Time(s),Class,Trip_ID
2.3,54,0,12.1,0,59,1,F,0
3.1,54,0,12.5,0,34,2,F,0
3.1,54,0,10.9,0,38,3,F,0
3.1,54,0,8.2,0,49,4,F,0
3.1,54,1,11.3,0,48,5,F,0
3.1,54,1,16.4,0,49,6,F,0
3.1,54,1,18.0,0,54,7,F,0
2.3,54,1,18.8,0,66,8,F,0
2.3,54,1,19.1,0,81,9,F,0
2.3,54,1,19.1,0,84,10,F,0
2.3,54,1,19.1,0,68,11,F,0
2.3,54,1,18.0,0,94,12,F,0
2.3,55,1,18.0,0,97,13,F,0
2.3,55,1,16.8,0,94,14,F,0
2.3,55,1,15.6,0,99,15,F,0
2.3,55,1,15.2,0,94,16,F,0
2.3,55,1,15.2,0,98,17,F,0
2.3,55,1,15.6,0,99,18,F,0
2.3,55,1,15.2,0,99,19,F,0
2.3,55,1,15.2,0,86,20,F,0
2.3,55,1,16.4,0,32,21,F,0
2.3,55,1,16.0,0,57,22,F,0
2.3,55,1,16.0,0,57,23,F,0
3.1,55,1,16.4,0,39,24,F,0
3.1,55,1,15.6,0,38,25,F,0
3.1,55,1,15.6,0,38,26,F,0
3.1,55,0,12.5,0,37,27,F,0
3.1,55,0,9.4,0,34,28,F,0
3.1,55,0,9.4,0,37,29,F,0
3.1,55,0,9.4,0,48,30,F,0
3.1,55,0,9.0,0,50,31,F,0
3.1,55,0,9.0,0,50,32,F,0
3.1,55,0,9.0,0,50,33,F,0
2.3,55,0,8.2,0,64,34,F,0
2.3,55,0,7.8,0,63,35,F,0
2.3,55,0,7.4,0,70,36,F,0
2.3,55,1,6.6,0,80,37,F,0
2.3,55,1,11.7,0,76,38,F,0
2.3,55,1,17.2,0,46,39,F,0
2.3,56,1,18.0,0,44,40,F,0
2.3,56,1,17.2,0,53,41,F,0
2.3,56,1,16.4,0,62,42,F,0
2.3,56,1,15.6,0,59,43,F,0
2.3,56,1,15.2,0,65,44,F,0
2.3,56,1,14.5,0,86,45,F,0
2.3,56,1,14.5,0,69,46,F,0
2.3,56,1,13.7,0,72,47,F,0
2.3,56,1,13.7,0,70,48,F,0
2.3,56,1,13.3,0,72,49,F,0
2.3,56,1,13.3,0,63,50,F,0
2.3,56,1,14.5,0,30,51,F,0
3.1,57,1,14.5,0,27,52,F,0
3.1,57,1,14.8,0,30,53,F,0
3.1,57,1,15.2,0,34,54,F,0
3.1,57,1,14.5,0,46,55,F,0
3.1,57,1,14.5,0,53,56,F,0
3.1,57,1,14.5,0,56,57,F,0
2.3,57,1,14.1,0,66,58,F,0
2.3,57,1,13.3,0,90,59,F,0
2.3,57,1,14.1,0,60,60,F,0
2.3,57,1,12.5,0,93,61,F,0
2.3,57,1,13.7,0,58,62,F,0
2.3,57,1,12.9,0,82,63,F,0
2.3,57,1,13.7,0,47,64,F,0
2.3,57,1,14.5,0,37,65,F,0
2.3,57,1,14.5,0,40,66,F,0
3.1,57,1,14.5,0,39,67,F,0
2.3,57,1,14.5,0,51,68,F,0
2.3,57,1,13.7,0,75,69,F,0
2.3,57,1,14.5,0,48,70,F,0
2.3,57,1,12.9,0,71,71,F,0
2.3,57,1,13.3,0,74,72,F,0
2.3,57,1,12.9,0,76,73,F,0
2.3,57,1,13.3,0,65,74,F,0
2.3,58,1,14.5,0,33,75,F,0
3.1,58,1,14.5,0,34,76,F,0
2.3,58,1,14.1,0,49,77,F,0
2.3,58,1,13.7,0,60,78,F,0
2.3,58,1,13.7,0,44,79,F,0
2.3,58,1,13.3,0,64,80,F,0
